player_id,name,round,score,date,handicap,avg_temp,precipitation,wind_speed,day_of_week,day_of_week_int
54,Jon Rahm,6,76,2019-09-06,2.5,67.82,30.2,10.31,Friday,4
55,Tommy Fleetwood,2,70,2018-01-11,2.9,64.58,0.8,14.29,Thursday,3
56,Talor Gooch,1,70,2017-09-10,2.0,60.8,0.0,13.86,Sunday,6
57,Lanto Griffin,4,69,2022-08-02,2.0,75.02,0.0,9.2,Tuesday,1
58,Cameron Smith,2,69,2017-07-02,3.6,78.62,0.0,12.3,Sunday,6
59,Bryson DeChambeau,5,76,2019-11-13,3.7,48.02,0.0,16.78,Wednesday,2
60,Max Homa,3,68,2019-01-20,2.2,73.94,0.0,8.95,Sunday,6
61,Matt Wallace,6,73,2019-12-07,3.6,46.76,0.0,13.17,Saturday,5
62,Justin Thomas,15,77,2022-09-20,3.8,60.26,17.0,10.94,Tuesday,1
63,Dean Burmester,1,69,2017-11-19,2.2,77.72,0.0,6.28,Sunday,6
64,Daniel van Tonder,3,66,2019-07-14,2.3,72.14,0.0,8.51,Sunday,6
65,Rory McIlroy,18,68,2019-08-30,3.1,67.28,0.0,8.95,Friday,4
66,Justin Rose,28,70,2019-10-29,3.8,78.26,3.3,11.62,Tuesday,1
67,Joel Dahmen,3,74,2019-09-24,3.7,48.56,0.8,8.7,Tuesday,1
68,Harris English,7,80,2019-02-16,4.2,47.84,0.3,10.07,Saturday,5
69,Adam Scott,18,77,2018-11-17,4.0,56.66,23.4,23.05,Saturday,5
70,Rickie Fowler,36,70,2021-09-20,2.4,54.14,0.0,10.31,Monday,0
71,Christiaan Bezuidenhout,3,69,2021-08-13,2.7,70.34,5.6,8.26,Friday,4
72,Chan Kim,4,70,2020-12-15,2.7,70.16,0.0,9.63,Tuesday,1
73,Billy Horschel,5,70,2018-12-30,5.3,64.76,5.1,7.39,Sunday,6
74,Lee Westwood,64,70,2021-12-04,3.9,68.72,7.1,9.2,Saturday,5
75,Joaquin Niemann,4,69,2019-09-21,3.8,52.34,0.0,10.94,Saturday,5
76,Bernd Wiesberger,9,72,2018-10-23,5.0,85.1,0.0,10.94,Tuesday,1
77,Antoine Rozner,2,72,2018-07-15,2.9,67.1,32.8,8.51,Sunday,6
78,Abraham Ancer,2,74,2019-07-16,3.4,47.48,0.0,10.07,Tuesday,1
79,Mackenzie Hughes,4,64,2021-02-14,0.6,51.26,0.0,9.38,Sunday,6
80,Brooks Koepka,17,66,2020-10-17,2.8,75.02,0.0,9.2,Saturday,5
81,Sam Horsfield,2,70,2020-05-17,3.2,76.1,0.0,12.74,Sunday,6
82,Brendan Steele,9,73,2019-11-30,4.9,78.08,0.0,12.3,Saturday,5
83,Sam Burns,3,73,2021-01-04,4.3,67.1,3.3,6.96,Monday,0
84,Scottie Scheffler,4,67,2021-10-31,0.9,71.42,0.0,10.94,Sunday,6
85,Robert MacIntyre,4,70,2020-10-17,0.9,54.5,0.0,8.26,Saturday,5
86,Dustin Johnson,44,65,2022-10-22,4.0,77.9,0.0,9.63,Saturday,5
87,Daniel Berger,8,68,2021-05-08,3.2,71.06,0.0,9.63,Saturday,5
88,Will Zalatoris,1,72,2021-04-13,1.5,58.64,1.3,5.59,Tuesday,1
39,Shane Lowry,20,76,2022-01-10,3.1,48.74,14.2,21.69,Monday,0
55,Tommy Fleetwood,13,66,2021-04-26,2.9,84.02,0.0,9.2,Monday,0
41,Tony Finau,10,66,2019-11-16,2.3,69.26,0.0,8.51,Saturday,5
18,Patrick Reed,17,70,2020-12-20,3.5,78.62,0.0,12.55,Sunday,6
89,Eddie Pepperell,1,74,2017-05-26,5.2,58.82,2.3,11.18,Friday,4
90,Shugo Imahira,2,83,2020-06-28,7.9,50.54,0.0,12.3,Sunday,6
40,Emiliano Grillo,13,70,2022-03-19,4.3,53.96,0.0,6.46,Saturday,5
91,Sungjae Im,2,71,2021-08-21,7.5,68.72,0.0,11.43,Saturday,5
92,C.T. Pan,2,75,2022-03-19,7.5,64.58,0.0,8.08,Saturday,5
69,Adam Scott,10,78,2018-04-15,4.0,56.48,0.0,14.11,Sunday,6
5,Phil Mickelson,7,80,2017-11-04,3.8,58.82,27.4,11.43,Saturday,5
33,Marc Leishman,11,75,2019-06-22,3.5,58.64,0.0,7.58,Saturday,5
30,Ryan Palmer,18,73,2022-03-05,4.3,79.34,0.0,12.3,Saturday,5
93,Luke List,1,76,2017-09-10,4.8,78.44,0.8,12.55,Sunday,6
94,Jorge Campillo,2,78,2018-08-27,6.1,73.04,0.3,8.51,Monday,0
50,Ian Poulter,43,72,2021-08-22,3.5,66.92,0.0,5.16,Sunday,6
95,Andrea Pavan,2,73,2021-02-13,6.6,53.24,0.0,10.31,Saturday,5
96,Tiger Woods,37,77,2020-01-04,3.7,68.9,0.0,14.54,Saturday,5
97,Rafa Cabrera Bello,2,75,2019-03-31,6.1,53.24,0.5,14.29,Sunday,6
67,Joel Dahmen,4,78,2019-11-09,3.7,79.34,3.6,12.99,Saturday,5
43,Corey Conners,3,74,2018-06-25,2.9,54.68,1.8,7.39,Monday,0
75,Joaquin Niemann,3,74,2018-10-21,3.8,75.38,0.0,9.38,Sunday,6
98,Jazz Janewattananond,1,77,2018-02-03,5.7,53.24,0.5,14.29,Saturday,5
59,Bryson DeChambeau,6,78,2019-12-12,3.7,37.4,0.0,10.94,Thursday,3
73,Billy Horschel,8,79,2020-02-29,5.3,46.22,0.0,14.98,Saturday,5
99,Haotong Li,6,72,2022-06-25,4.3,57.56,0.0,8.95,Saturday,5
100,Hideki Matsuyama,6,77,2018-07-30,3.8,38.48,0.0,21.69,Monday,0
22,Gary Woodland,26,77,2021-06-05,4.0,53.42,16.0,14.98,Saturday,5
101,Chez Reavie,2,73,2018-12-15,5.5,80.78,0.0,16.34,Saturday,5
102,Adrian Otaegui,1,76,2017-05-20,4.8,65.66,2.0,11.18,Saturday,5
65,Rory McIlroy,27,82,2021-04-06,3.1,62.24,1.3,11.62,Tuesday,1
103,Keith Mitchell,1,76,2018-01-30,4.3,71.96,0.0,7.83,Tuesday,1
34,Keegan Bradley,8,77,2019-06-02,4.1,48.02,0.0,16.78,Sunday,6
11,Jason Day,5,68,2017-09-09,4.0,67.46,0.0,7.83,Saturday,5
47,Brian Harman,3,70,2017-08-12,4.0,69.44,0.0,6.71,Saturday,5
104,Brandt Snedeker,15,73,2020-02-02,4.0,72.5,4.1,9.82,Sunday,6
78,Abraham Ancer,5,71,2021-03-18,3.4,68.18,0.0,7.39,Thursday,3
105,Tom Lewis,1,77,2017-04-29,2.7,81.32,0.5,10.94,Saturday,5
62,Justin Thomas,4,72,2018-06-28,3.8,66.74,7.6,8.26,Thursday,3
54,Jon Rahm,2,66,2017-09-15,2.5,81.14,0.0,8.08,Friday,4
106,Francesco Molinari,12,77,2018-10-17,3.7,49.64,0.0,11.87,Wednesday,2
13,Alex Noren,1,69,2017-08-13,2.7,75.2,0.0,11.43,Sunday,6
107,Rory Sabbatini,27,72,2021-12-09,5.6,60.62,3.0,14.98,Thursday,3
108,Lucas Bjerregaard,4,69,2022-03-04,3.0,52.34,0.0,9.82,Friday,4
109,Lucas Glover,20,74,2022-05-27,4.9,68.72,30.7,8.08,Friday,4
53,Louis Oosthuizen,29,70,2021-08-12,3.2,66.02,0.0,11.62,Thursday,3
66,Justin Rose,34,75,2021-01-17,3.8,44.24,16.3,14.11,Sunday,6
2,Jordan Spieth,25,71,2022-03-15,2.2,73.94,3.0,7.83,Tuesday,1
110,Henrik Stenson,40,73,2020-11-01,3.1,44.96,0.0,15.22,Sunday,6
23,Erik van Rooyen,1,69,2017-12-30,3.4,60.08,0.0,9.63,Saturday,5
58,Cameron Smith,10,67,2021-05-15,3.6,82.58,0.0,9.63,Saturday,5
44,Webb Simpson,20,65,2020-05-23,4.1,75.38,0.0,9.82,Saturday,5
4,Kevin Kisner,8,67,2019-10-05,4.2,82.4,0.0,8.08,Saturday,5
111,Kiradech Aphibarnrat,6,66,2020-06-14,5.9,66.74,0.0,7.58,Sunday,6
112,Joost Luiten,6,72,2018-03-22,5.2,66.2,0.0,8.95,Thursday,3
49,Jason Kokrak,5,72,2021-06-06,2.7,69.44,0.0,8.95,Sunday,6
113,Byeong Hun An,14,70,2022-08-14,4.8,64.04,0.0,7.83,Sunday,6
76,Bernd Wiesberger,21,69,2022-01-10,5.0,70.52,0.0,6.96,Monday,0
114,Andrew Putnam,2,73,2017-12-04,3.6,51.8,0.0,15.41,Monday,0
74,Lee Westwood,35,69,2019-04-23,3.9,54.14,0.0,10.31,Tuesday,1
80,Brooks Koepka,1,69,2017-05-07,2.8,60.26,8.9,8.95,Sunday,6
48,Xander Schauffele,7,75,2021-01-29,2.5,64.94,0.0,11.18,Friday,4
115,Russell Knox,6,72,2018-05-27,4.5,70.16,11.2,8.51,Sunday,6
19,Patrick Cantlay,6,70,2021-05-09,3.4,50.9,0.3,9.2,Sunday,6
10,Matt Kuchar,26,71,2020-07-20,4.0,64.22,0.0,11.62,Monday,0
116,Kyle Stanley,3,73,2017-05-28,4.6,77.72,0.0,8.51,Sunday,6
117,Justin Harding,3,75,2021-04-10,3.8,55.76,11.2,13.17,Saturday,5
118,Aaron Wise,3,70,2022-05-08,3.8,62.78,0.0,8.7,Sunday,6
61,Matt Wallace,8,72,2020-07-08,3.6,72.68,0.0,7.83,Wednesday,2
86,Dustin Johnson,28,72,2020-10-29,4.0,65.3,0.0,10.31,Thursday,3
24,Charley Hoffman,13,69,2020-05-23,5.1,75.56,0.0,12.99,Saturday,5
119,Bubba Watson,21,75,2020-07-03,4.9,82.04,34.8,11.43,Friday,4
26,Branden Grace,26,67,2021-07-11,4.6,71.24,0.0,8.51,Sunday,6
42,Paul Casey,36,71,2020-04-25,3.9,74.48,0.0,10.5,Saturday,5
46,Kevin Streelman,11,74,2020-12-06,4.7,66.2,0.0,9.82,Sunday,6
120,Graeme McDowell,11,77,2018-02-11,5.1,47.84,0.3,10.07,Sunday,6
121,Adam Hadwin,3,76,2019-11-24,4.8,57.38,5.3,11.62,Sunday,6
28,Tyrrell Hatton,10,66,2018-10-13,3.6,76.82,0.0,6.71,Saturday,5
70,Rickie Fowler,26,67,2020-07-05,2.4,67.64,0.0,5.84,Sunday,6
122,Danny Willett,11,75,2021-02-06,3.7,77.72,1.0,12.3,Saturday,5
123,Mikko Korhonen,1,74,2019-07-18,4.5,64.94,0.0,11.18,Thursday,3
124,Jim Furyk,73,70,2022-08-27,4.2,55.94,0.0,8.7,Saturday,5
45,Sergio Garcia,32,69,2019-06-15,4.0,59.72,7.1,12.99,Saturday,5
125,J.B. Holmes,17,67,2020-09-29,4.9,76.46,1.5,8.95,Tuesday,1
106,Francesco Molinari,26,69,2020-11-22,3.7,55.4,8.6,8.08,Sunday,6
33,Marc Leishman,16,79,2020-05-29,3.5,38.84,34.5,14.29,Friday,4
58,Cameron Smith,3,73,2017-09-03,3.6,74.48,0.0,12.99,Sunday,6
34,Keegan Bradley,17,78,2021-08-28,4.1,41.36,1.0,13.17,Saturday,5
126,Andrew Landry,1,82,2018-12-14,10.2,68.54,0.0,14.79,Friday,4
50,Ian Poulter,47,73,2022-01-06,3.5,68.54,6.6,7.58,Thursday,3
104,Brandt Snedeker,3,76,2017-08-01,4.0,68.54,0.0,6.71,Tuesday,1
127,Patton Kizzire,2,78,2018-03-10,6.6,41.54,0.0,9.82,Saturday,5
128,Jimmy Walker,18,73,2022-09-11,4.7,75.02,0.3,12.05,Sunday,6
129,Jhonattan Vegas,2,78,2019-12-31,7.3,66.92,0.0,10.07,Tuesday,1
40,Emiliano Grillo,5,81,2019-08-17,4.3,45.5,0.3,12.55,Saturday,5
3,Dylan Frittelli,4,78,2017-12-04,3.5,44.42,5.1,12.99,Monday,0
31,Russell Henley,12,71,2019-11-09,5.1,42.08,5.8,8.26,Saturday,5
130,Charles Howell III,4,76,2022-05-10,6.6,86.54,0.0,11.62,Tuesday,1
86,Dustin Johnson,7,76,2018-02-04,4.0,57.38,0.0,10.94,Sunday,6
119,Bubba Watson,10,76,2018-06-22,4.9,73.76,0.0,10.94,Friday,4
131,Alexander Levy,3,72,2020-06-17,5.3,74.66,0.0,9.82,Wednesday,2
39,Shane Lowry,24,71,2022-10-16,3.1,69.26,0.0,8.08,Sunday,6
94,Jorge Campillo,1,74,2017-07-17,6.1,80.06,0.0,12.99,Monday,0
54,Jon Rahm,14,70,2022-10-09,2.5,57.38,5.3,11.62,Sunday,6
132,Chesson Hadley,3,71,2021-03-14,6.6,69.44,0.0,6.71,Sunday,6
133,Charl Schwartzel,18,78,2020-04-07,4.7,67.64,4.3,17.9,Tuesday,1
47,Brian Harman,10,74,2021-10-27,4.0,75.92,23.1,9.63,Wednesday,2
45,Sergio Garcia,78,74,2022-08-13,4.0,67.64,2.0,9.63,Saturday,5
115,Russell Knox,9,71,2019-07-06,4.5,70.7,0.0,9.38,Saturday,5
134,Peter Uihlein,5,75,2021-10-08,3.9,56.12,0.0,10.5,Friday,4
61,Matt Wallace,3,74,2017-10-01,3.6,73.22,1.0,9.38,Sunday,6
62,Justin Thomas,12,70,2021-10-18,3.8,69.44,0.0,12.05,Monday,0
100,Hideki Matsuyama,8,75,2018-10-28,3.8,68.18,1.5,5.34,Sunday,6
87,Daniel Berger,9,71,2021-06-27,3.2,58.1,0.0,8.08,Sunday,6
101,Chez Reavie,1,71,2018-07-22,5.5,48.92,0.0,9.38,Sunday,6
26,Branden Grace,15,73,2020-04-19,4.6,56.48,0.0,14.11,Sunday,6
44,Webb Simpson,13,71,2018-12-01,4.1,66.92,36.1,8.51,Saturday,5
55,Tommy Fleetwood,7,77,2019-05-05,2.9,54.68,14.2,22.37,Sunday,6
135,Ryan Moore,16,65,2019-12-15,4.8,75.38,0.0,9.38,Sunday,6
19,Patrick Cantlay,4,68,2020-11-28,3.4,75.38,0.0,9.38,Saturday,5
136,Zach Johnson,1,77,2017-04-03,4.7,57.02,17.0,24.61,Monday,0
136,Zach Johnson,85,67,2021-04-24,4.7,83.66,0.0,11.62,Saturday,5
136,Zach Johnson,7,72,2017-07-18,4.7,40.46,0.0,8.26,Tuesday,1
136,Zach Johnson,60,66,2020-05-17,4.7,78.62,0.0,9.82,Sunday,6
136,Zach Johnson,6,69,2017-06-12,4.7,68.54,0.0,8.51,Monday,0
136,Zach Johnson,74,69,2020-10-08,4.7,61.52,3.0,7.39,Thursday,3
136,Zach Johnson,43,68,2019-07-28,4.7,50.9,2.8,9.63,Sunday,6
136,Zach Johnson,46,72,2019-10-05,4.7,67.82,30.2,10.31,Saturday,5
136,Zach Johnson,36,66,2019-03-03,4.7,74.3,0.0,8.51,Sunday,6
136,Zach Johnson,72,68,2020-09-19,4.7,56.12,1.0,8.26,Saturday,5
136,Zach Johnson,32,68,2019-01-28,4.7,54.68,0.0,8.26,Monday,0
136,Zach Johnson,105,66,2022-04-23,4.7,57.2,0.0,9.38,Saturday,5
136,Zach Johnson,20,67,2018-06-01,4.7,66.74,0.0,7.58,Friday,4
136,Zach Johnson,77,71,2020-10-25,4.7,68.72,0.5,15.41,Sunday,6
136,Zach Johnson,45,68,2019-09-15,4.7,59.72,0.3,8.26,Sunday,6
136,Zach Johnson,63,68,2020-06-07,4.7,77.18,0.3,9.82,Sunday,6
137,Pat Perez,3,71,2019-05-11,4.9,74.3,4.8,10.94,Saturday,5
11,Jason Day,14,70,2019-02-17,4.0,73.58,0.0,10.07,Sunday,6
24,Charley Hoffman,11,68,2019-12-28,5.1,69.08,0.0,8.95,Saturday,5
13,Alex Noren,6,68,2019-08-17,2.7,64.94,0.0,6.28,Saturday,5
69,Adam Scott,16,75,2018-10-27,4.0,44.42,5.1,12.99,Saturday,5
48,Xander Schauffele,8,69,2021-03-14,2.5,58.64,0.0,5.84,Sunday,6
65,Rory McIlroy,11,66,2018-09-29,3.1,53.24,0.0,7.83,Saturday,5
4,Kevin Kisner,20,64,2022-05-29,4.2,82.94,0.0,12.74,Sunday,6
66,Justin Rose,24,76,2019-06-01,3.8,57.02,17.0,24.61,Saturday,5
17,Stewart Cink,26,69,2019-11-23,4.0,64.04,0.0,6.96,Saturday,5
5,Phil Mickelson,79,74,2022-05-19,3.8,40.64,0.0,9.38,Thursday,3
138,Thomas Pieters,9,71,2020-12-11,3.5,61.52,0.0,10.5,Friday,4
70,Rickie Fowler,3,74,2017-04-25,2.4,77.72,32.5,8.95,Tuesday,1
18,Patrick Reed,3,74,2018-01-10,3.5,61.7,0.0,7.58,Wednesday,2
53,Louis Oosthuizen,25,72,2020-12-25,3.2,75.02,8.1,8.08,Friday,4
139,Julian Suri,1,75,2017-09-10,3.4,66.92,0.3,7.83,Sunday,6
140,Chris Wood,11,73,2020-02-14,4.0,47.48,2.3,7.39,Friday,4
141,Austin Cook,2,78,2018-03-14,3.4,48.02,2.3,10.5,Wednesday,2
142,Satoshi Kodaira,3,75,2020-03-25,3.6,69.08,1.8,10.31,Wednesday,2
110,Henrik Stenson,22,71,2019-01-28,3.1,56.48,0.0,13.67,Monday,0
121,Adam Hadwin,9,75,2022-01-03,4.8,54.68,1.8,7.39,Monday,0
143,Ryan Fox,1,73,2019-03-24,3.8,54.86,0.0,9.38,Sunday,6
144,Ross Fisher,6,77,2018-04-28,4.9,57.02,0.3,12.99,Saturday,5
93,Luke List,3,74,2018-05-20,4.8,38.66,0.0,19.7,Sunday,6
116,Kyle Stanley,14,72,2021-02-25,4.6,52.16,0.0,11.43,Thursday,3
99,Haotong Li,5,73,2021-05-01,4.3,54.86,4.1,10.75,Saturday,5
80,Brooks Koepka,21,75,2022-05-16,2.8,75.02,0.3,12.05,Monday,0
145,Yusaku Miyazato,4,72,2022-01-22,4.1,67.1,0.0,18.58,Saturday,5
82,Brendan Steele,1,73,2017-10-02,4.9,77.72,32.5,8.95,Monday,0
146,Yuta Ikeda,9,70,2022-01-01,5.9,78.62,0.0,14.29,Saturday,5
28,Tyrrell Hatton,1,81,2017-04-05,3.6,41.9,1.3,10.5,Wednesday,2
147,Shubhankar Sharma,2,73,2018-12-02,4.3,64.04,0.0,12.05,Sunday,6
42,Paul Casey,59,70,2022-08-13,3.9,64.04,0.0,6.96,Saturday,5
148,Kevin Na,5,68,2017-07-22,4.5,60.26,0.0,9.2,Saturday,5
149,Jason Dufner,2,73,2017-09-10,4.4,60.08,0.0,8.26,Sunday,6
113,Byeong Hun An,3,73,2018-12-22,4.8,66.74,0.0,14.11,Saturday,5
59,Bryson DeChambeau,2,75,2018-02-18,3.7,65.12,0.0,12.3,Sunday,6
96,Tiger Woods,1,70,2017-05-28,3.7,71.42,0.0,8.51,Sunday,6
150,Kevin Chappell,10,68,2022-08-21,4.1,75.92,0.0,6.28,Sunday,6
151,Paul Dunne,4,71,2022-04-19,5.0,73.76,0.0,9.63,Tuesday,1
22,Gary Woodland,22,72,2021-02-25,4.0,48.92,0.0,9.38,Thursday,3
111,Kiradech Aphibarnrat,7,77,2020-11-21,5.9,48.56,0.8,8.7,Saturday,5
152,Beau Hossler,1,74,2022-01-30,5.4,67.46,0.0,10.07,Sunday,6
41,Tony Finau,8,67,2019-06-23,2.3,52.52,0.0,10.75,Sunday,6
10,Matt Kuchar,19,70,2019-10-24,4.0,73.76,0.0,11.62,Thursday,3
2,Jordan Spieth,2,73,2018-07-13,2.2,61.52,3.0,7.39,Friday,4
2,Jordan Spieth,8,64,2018-11-03,2.2,85.1,0.0,10.94,Saturday,5
10,Matt Kuchar,10,63,2018-11-11,4.0,54.5,0.0,8.51,Sunday,6
122,Danny Willett,18,72,2022-09-10,3.7,73.76,0.3,11.87,Saturday,5
82,Brendan Steele,3,78,2018-02-10,4.9,75.74,1.5,10.31,Saturday,5
121,Adam Hadwin,4,73,2020-09-27,4.8,67.46,13.5,6.03,Sunday,6
153,Wesley Bryan,2,72,2020-10-29,8.0,80.24,0.0,9.2,Thursday,3
53,Louis Oosthuizen,12,82,2018-11-17,3.2,53.96,13.5,16.34,Saturday,5
154,Hideto Tanihara,2,82,2019-06-11,7.7,48.74,0.0,10.5,Tuesday,1
73,Billy Horschel,3,78,2018-09-18,5.3,61.34,0.0,11.18,Tuesday,1
28,Tyrrell Hatton,6,74,2018-05-20,3.6,85.1,0.0,10.94,Sunday,6
129,Jhonattan Vegas,1,74,2017-04-23,7.3,78.62,0.0,7.39,Sunday,6
146,Yuta Ikeda,3,70,2018-04-19,5.9,50.9,0.0,9.38,Thursday,3
39,Shane Lowry,14,79,2020-04-26,3.1,40.82,15.2,22.8,Sunday,6
5,Phil Mickelson,54,70,2020-11-29,3.8,68.0,0.0,9.2,Sunday,6
155,Jeunghun Wang,3,78,2021-04-30,7.0,64.04,0.0,10.75,Friday,4
156,William McGirt,3,77,2020-03-15,6.1,61.52,0.0,13.42,Sunday,6
137,Pat Perez,8,74,2022-04-17,4.9,69.8,1.3,8.7,Sunday,6
40,Emiliano Grillo,2,76,2017-11-12,4.3,72.5,4.1,9.82,Sunday,6
130,Charles Howell III,2,76,2018-06-19,6.6,53.42,8.6,7.39,Tuesday,1
157,Bill Haas,8,71,2018-04-28,5.0,61.88,4.6,8.95,Saturday,5
135,Ryan Moore,2,75,2017-05-10,4.8,64.94,0.0,10.5,Wednesday,2
18,Patrick Reed,20,72,2021-11-04,3.5,86.36,0.0,11.62,Thursday,3
116,Kyle Stanley,10,74,2020-02-18,4.6,54.5,1.8,12.3,Tuesday,1
150,Kevin Chappell,2,71,2017-05-13,4.1,58.46,0.0,8.95,Saturday,5
3,Dylan Frittelli,2,76,2017-07-30,3.5,47.48,0.0,14.29,Sunday,6
113,Byeong Hun An,13,76,2022-05-12,4.8,87.08,0.0,13.17,Thursday,3
47,Brian Harman,7,68,2018-10-06,4.0,61.52,0.0,8.51,Saturday,5
115,Russell Knox,11,70,2019-11-24,4.5,80.78,0.0,9.82,Sunday,6
158,Martin Laird,7,72,2021-02-21,5.4,59.18,42.7,12.99,Sunday,6
62,Justin Thomas,10,67,2021-05-02,3.8,65.3,0.0,10.31,Sunday,6
106,Francesco Molinari,24,69,2020-04-12,3.7,83.66,0.0,7.58,Sunday,6
159,Fabrizio Zanotti,2,79,2021-12-24,5.7,71.6,0.0,15.22,Friday,4
160,Pablo Larrazabal,14,70,2022-09-03,5.0,82.94,0.0,10.5,Saturday,5
161,Anirban Lahiri,11,76,2021-07-31,5.0,66.02,25.4,10.5,Saturday,5
131,Alexander Levy,6,69,2022-06-19,5.3,50.54,0.0,8.95,Sunday,6
42,Paul Casey,23,66,2019-06-27,3.9,57.38,0.0,10.94,Thursday,3
110,Henrik Stenson,52,66,2022-10-09,3.1,50.54,0.0,9.63,Sunday,6
136,Zach Johnson,30,74,2018-12-30,4.7,64.04,0.0,12.05,Sunday,6
149,Jason Dufner,12,76,2019-02-16,4.4,46.94,0.0,15.41,Saturday,5
50,Ian Poulter,35,64,2020-11-29,3.5,70.52,0.0,4.72,Sunday,6
100,Hideki Matsuyama,7,66,2018-10-13,3.8,68.54,0.0,6.46,Saturday,5
