Year,Name,Course,Yards,Par,Open.Position,Integer.Position,Position.Grouping,Open.R1,Open.R2,Open.R3,Open.R4,Open.Score,cut,World.Ranking,WR.Average,ApproachTheGreenGIR.,AroundTheGreenSS.,MoneyFinishTop10,MoneyMoneyFinishTop10_1st,MoneyMoneyFinishTop10_2nd,MoneyMoneyFinishTop10_3rd,DrivingAcc.,DrivingDistAVG,BirdOrBetterConversion.,PuttsPerRoundAVG,BirdieAVG,EagleHoleFreq,Par3BirdOrBetter.,Par4BirdOrBetter.,Par5BirdOrBetter.,AVGRoundUnderPar.,Round3AVG,ScoringAVG,ScoringAVGActual,ScoringAVGBeforeCut,TotalBirdie,TotalEagle,BirdieToBogeyRatio,BogeyAVGPerRound,BogeyAvoidance_MakesBogey.,BounceBack.,PAR3AVG,PAR4AVG,PAR5AVG,Par5EaglesTotal,Round4AVG,StrokeDifferential,BirdieConversionAVG,GIR.FromFairway,Scramble.,X1PuttsPerRoundAVG,X2PuttsPerRoundAVG,X3PuttsPerRoundAVG,X3PuttAvoidance,X1Put.,PuttingAVG,Round1AVG,Round2AVG,ApproachFromInside100Yard,BirdieOrBetter.Rough,GIR.FromFairwayBunker,GIR.From100y,GIR.From200y,GIR.FromInside100y,GIR.FromNonFairway,ProxHoleFromOtherAVG,ProxHoleFromRoughAVG,ProxHoleAVG,FairwayBunkerFromTee.,GoodDriveOffTee.,FairwayFromTee.,MissedFairwayFromTee.,BirdiePuttDist.,EaglePuttDist.,ScoringBirdieOrBetter.,SameOrImprovedFinalRound.,TOP10SameOrImprovedFinalRound.,ApproachFromInside100YAVG,ApproachGreater100YAVG,ApproachGreater100YRoughAVG,ApproachGreater200YAVG,ApproachGreater200YRoughAVG,ApproachGreater275YAVG,ApproachGreater275YRoughAVG,ProximityFromRoughAVG,DistanceOfPuttAVG,SGAroundTheGreenAVG,SGOffTheTeeAVG,SGTeeToGreenAVG,SGTeeToGreenAVGOTT,SGTeeToGreenAVGAPR,SGTeeToGreenAVGARG,SGTeeToGreenAVGPUTT,SGTotalAVG,BirdOrBetterFromFairway.
2021,Carlos Ortiz,Royal St Georges,7189,70,CUT,90,10,75,70,0,0,145,0,57,2.1404,67.03,43.41,3,1,0,0,60.36,303,32.07,28.75,3.89,97.4,14.25,17.32,49.68,22.64,70.11,70.911,70.22,70.04,358,17,1.46,2.48,15.52,23.21,3.08,4.01,4.55,15,70.84,0.39,32.07,79.1,58.06,7.11,10.22,0,2.23,39.49,1.597,70.52,69.56,"29' 0""",14.29,40,63.43,51.61,84.59,51.08,"6' 5""","8' 10""","11' 1""",7.8,81.7,60.4,5.81,"9' 7""","22' 2""",22.64,42.11,33.3,"19' 8""","32' 2""","45' 6""","47' 7""","60' 5""","67' 0""","47' 2""","42' 9""","74' 3""",0.132,0.246,0.418,0.246,0.039,0.132,-0.019,0.399,25.28
2021,Alex Noren,Royal St Georges,7189,70,CUT,90,10,74,71,0,0,145,0,83,1.6415,63.21,56.8,3,0,0,0,58.26,297.9,32.08,28.29,3.76,246,14.2,15.61,46.5,21.27,70.24,70.78,70.61,70.65,308,6,1.36,2.59,15.65,18.89,3,4.06,4.61,5,70.88,0.59,32.08,73.76,60.96,7.63,9.89,0,1.63,42.41,1.5719999999999998,71.42,69.88,"24' 3""",15.19,43.3,58.29,49.07,82.01,47.79,"6' 5""","8' 3""","7' 8""",6.6,79,59.35,5,"9' 5""","11' 5""",21.27,44.44,0,"18' 2""","37' 0""","53' 2""","51' 9""","70' 1""","87' 9""","86' 0""","49' 1""","72' 1""",0.251,-0.045,0.096,-0.045,-0.11,0.251,0.5379999999999999,0.634,23.31
2021,John Catlin,Royal St Georges,7189,70,CUT,90,10,75,69,0,0,144,0,89,1.5469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,Jason Scrivener,Royal St Georges,7189,70,CUT,90,10,73,71,0,0,144,0,98,1.4495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,Troy Merritt,Royal St Georges,7189,70,CUT,90,10,73,70,0,0,143,0,86,1.6214,64.63,53.33,4,0,1,0,61.95,289.9,29.04,28.87,3.46,147,13.75,16.95,37.58,19.9,70.56,70.942,70.76,70.69,339,12,1.2,2.66,16.55,16.13,3.03,4.04,4.72,8,71.17,0.18,29.04,75.62,60.9,7.17,9.91,0.01,3.46,39.85,1.604,71,70.39,"28' 3""",11.99,42,60.22,43.69,90.13,48.94,"7' 2""","8' 10""","8' 9""",6.2,81.09,61.59,4.33,"10' 8""","15' 3""",19.9,47.37,66.7,"17' 7""","33' 1""","47' 10""","51' 11""","71' 6""","92' 9""","101' 8""","45' 7""","76' 10""",0.07,-0.207,-0.112,-0.207,0.025,0.07,0.282,0.17,22.14
2021,Stewart Cink,Royal St Georges,7189,70,CUT,90,10,66,77,0,0,143,0,43,2.7907,69.44,56.9,3,2,0,0,56.42,306.6,30.63,29.22,3.93,202.5,16.48,17.52,46.79,22.35,70.53,70.57600000000002,70.1,69.94,354,8,1.5,2.38,14.88,23.11,2.96,4.03,4.61,8,70.11,0.56,30.63,78.23,58.18,6.79,10.57,0,2.41,37.72,1.6230000000000002,70.04,69.85,"21' 2""",15.55,66.7,66.23,53.05,88.7,57.82,"7' 3""","8' 5""","9' 8""",8.1,82.41,57.61,6.31,"9' 10""","11' 0""",22.35,68.42,50,"14' 10""","33' 1""","42' 7""","51' 7""","70' 10""","94' 2""","94' 4""","39' 7""","73' 10""",-0.054,-0.064,0.299,-0.064,0.417,-0.054,0.16399999999999998,0.463,24.44
2021,Patrick Reed,Royal St Georges,7189,70,CUT,90,10,72,71,0,0,143,0,9,5.8833,62.11,61.7,6,1,0,0,63.21,291.4,35.56,27.81,4,127.6,12.74,17.92,51.14,23.01,70.18,70.039,70.09,70.14,312,11,1.5,2.54,15.38,23.9,3.06,3.99,4.58,8,69.88,1.32,35.56,73.44,62.97,8.12,9.42,0,1.57,45.09,1.545,69.55,70.73,"20' 5""",13.24,40.5,56.84,37.97,84.94,46.13,"6' 10""","7' 5""","8' 0""",8.7,80.83,63.2,2.74,"8' 6""","29' 4""",23.01,70.59,60,"15' 9""","36' 9""","48' 1""","53' 10""","75' 0""","81' 0""","122' 5""","43' 7""","77' 3""",0.368,-0.003,0.644,-0.003,0.279,0.368,0.669,1.3130000000000002,25.53
2021,Patrick Cantlay,Royal St Georges,7189,70,CUT,90,10,74,69,0,0,143,0,8,6.3148,70.16,59.41,7,4,1,1,60.71,302.8,33.1,28.76,4.29,234,12.18,19.83,53.08,24.29,69.35,69.736,69.4,69.55,335,6,1.94,2.03,12.54,18.9,3.05,3.95,4.52,5,69.06,1.59,33.1,82.35,67.3,7.35,9.86,0,3.13,40.81,1.598,69.5,69.59,"28' 11""",17.65,54.7,65.49,51.2,87.68,57.34,"6' 3""","7' 8""","7' 8""",6.8,84.25,60.21,4.44,"9' 9""","11' 8""",24.29,72.22,62.5,"16' 8""","34' 0""","43' 4""","52' 5""","64' 6""","95' 1""","84' 7""","41' 9""","78' 1""",0.363,0.569,1.418,0.569,0.486,0.363,0.402,1.82,27.12
2021,Matt Jones,Royal St Georges,7189,70,CUT,90,10,72,71,0,0,143,0,62,2.0615,65.74,52.83,3,1,0,0,55.62,304,30.53,28.76,3.68,204,9.95,17.21,47.81,20.92,70.77,70.665,70.43,70.43,375,9,1.34,2.5,15.63,16.73,3.11,4.01,4.62,6,70.09,0.43,30.53,80.3,61.05,7.29,10.06,0,2.51,40.52,1.598,70.52,70.34,"23' 4""",14.71,52.5,61.65,38.83,89.29,53.48,"5' 8""","8' 10""","8' 9""",8.7,80.48,54.95,5,"9' 6""","23' 7""",20.92,63.64,50,"15' 5""","35' 11""","46' 6""","54' 10""","72' 6""","74' 11""","110' 6""","43' 0""","73' 0""",0.305,0.124,0.00699999999999999,0.124,-0.422,0.305,0.273,0.28,23.43
2021,Lucas Herbert,Royal St Georges,7189,70,CUT,90,10,70,73,0,0,143,0,55,2.1725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,Gary Woodland,Royal St Georges,7189,70,CUT,90,10,73,70,0,0,143,0,66,2.0115,62.94,49.48,3,0,0,0,55.01,309.5,31.86,29,3.71,210,12.41,17.16,43.7,21.11,71.25,71.279,71.53,71.39,260,6,1.09,2.97,19.29,19.21,3.07,4.09,4.67,5,72.33,0.09,31.86,79.37,53.32,7.07,10.17,0,2.94,39.29,1.611,71.7,71.09,"24' 2""",17.92,43.5,58.05,42.04,83.48,44.77,"7' 2""","8' 4""","9' 1""",7.8,76.38,56.02,7.02,"8' 8""","12' 4""",21.11,61.54,50,"18' 3""","33' 8""","49' 5""","47' 10""","79' 1""","71' 2""","120' 1""","46' 1""","73' 0""",0.07200000000000001,-0.19,0.173,-0.19,0.29100000000000004,0.07200000000000001,-0.076,0.096,23.09
2021,Erik van Rooyen,Royal St Georges,7189,70,CUT,90,10,69,74,0,0,143,0,93,1.4998,64.38,54,5,1,0,0,61.12,305.3,32.7,28.75,3.9,187.7,13.42,18.45,46.52,22.22,71,70.67399999999998,70.62,70.89,285,7,1.32,2.55,16.82,27.67,3.13,4.02,4.63,6,69.23,0.39,32.7,75.85,58.33,7.29,9.97,0,2.82,40.49,1.597,70.5,71.3,"24' 4""",12.83,50,61.14,47.62,85.96,48.35,"6' 11""","7' 1""","9' 9""",6.6,80.71,61.62,4.9,"9' 10""","18' 9""",22.22,73.33,40,"16' 10""","31' 8""","48' 3""","47' 2""","63' 9""","75' 8""","72' 9""","45' 2""","77' 10""",0.052,0.126,0.319,0.126,0.141,0.052,0.193,0.512,25.25
2021,Charley Hoffman,Royal St Georges,7189,70,CUT,90,10,72,71,0,0,143,0,58,2.1329,67.85,47.26,5,0,1,1,57.11,306.5,33.97,28.69,4.2,178.2,17.08,19.69,45.48,23.91,70.18,70.32600000000001,69.99,69.76,416,10,1.6,2.34,14.98,22.49,3,4,4.62,9,70.36,0.95,33.97,78.53,61.08,7.42,9.81,0.01,3.03,41.25,1.594,70.32,69.19,"25' 9""",19.52,52.6,65.6,54.55,83.72,55.33,"7' 7""","8' 1""","8' 10""",7.1,81.86,56.55,6.42,"9' 11""","8' 8""",23.91,43.48,33.3,"17' 2""","31' 4""","44' 1""","47' 7""","74' 0""","89' 0""","117' 11""","41' 5""","78' 1""",-0.123,0.341,0.8640000000000001,0.341,0.6459999999999999,-0.123,0.33,1.194,27.1
2021,Brendon Todd,Royal St Georges,7189,70,CUT,90,10,72,71,0,0,143,0,69,1.9935,64.86,55.56,3,0,0,0,75.25,275.2,30.6,28.53,3.62,140.7,14.83,16.16,43.84,20.8,69.12,70.842,70.53,70.9,311,11,1.31,2.55,15.83,24.68,3.08,4.02,4.63,7,70.82,0.37,30.6,73.4,60.66,7.48,9.9,0.01,2.33,41.54,1.585,71.31,70.5,"26' 6""",14.29,46.7,61.94,39.66,82.93,44.63,"6' 2""","8' 6""","9' 4""",4.5,86.79,75.15,1.51,"10' 3""","10' 7""",20.8,38.89,0,"19' 1""","35' 10""","53' 2""","57' 6""","80' 4""","113' 0""","118' 8""","49' 8""","80' 11""",0.204,-0.234,-0.205,-0.234,-0.17600000000000002,0.204,0.62,0.415,22.21
2021,Branden Grace,Royal St Georges,7189,70,CUT,90,10,72,71,0,0,143,0,61,2.0679,64.47,46.77,4,1,1,0,55.5,293.8,31.27,28.62,3.78,243,14.24,16.94,44.12,21.4,69.94,70.741,70.64,71.27,306,6,1.33,2.63,16.12,22.73,3.09,4.02,4.65,4,69.44,0.55,31.27,79.39,59.07,7.2,10.21,0,1.85,39.99,1.59,71.2,71.33,"27' 1""",16.93,38.3,59.44,42.31,81.53,49.4,"6' 1""","7' 9""","8' 7""",7,78.37,54.69,4.87,"10' 6""","4' 10""",21.4,76.47,75,"18' 0""","33' 2""","47' 1""","52' 3""","65' 6""","99' 4""","87' 1""","44' 5""","71' 8""",0.234,-0.162,0.233,-0.162,0.161,0.234,0.15,0.383,22.58
2021,Victor Perez,Royal St Georges,7189,70,CUT,90,10,70,72,0,0,142,0,38,2.8822,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,Tyrrell Hatton,Royal St Georges,7189,70,CUT,90,10,72,70,0,0,142,0,10,5.8103,63.89,58.73,4,0,1,1,63.02,299,33.02,28.32,3.91,168,11.64,19.11,45.26,22.32,70.27,70.249,70.36,70.97,219,6,1.43,2.41,15.58,18.54,3.06,3.99,4.68,2,68.55,1,33.02,74.85,60.99,7.48,9.91,0.05,1.79,41.57,1.5730000000000002,71,70.94,"11' 11""",13.43,38.5,59.36,44.44,87.08,48.08,"6' 11""","8' 4""","8' 6""",8,81.19,62.6,5.87,"8' 8""","5' 11""",22.32,83.33,100,"14' 7""","31' 11""","49' 11""","45' 8""","67' 2""","63' 6""","83' 0""","47' 4""","74' 2""",0.028,0.322,1.002,0.322,0.6509999999999999,0.028,0.138,1.14,25.85
2021,Takumi Kanaya,Royal St Georges,7189,70,CUT,90,10,70,72,0,0,142,0,85,1.6215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,Ryan Palmer,Royal St Georges,7189,70,CUT,90,10,72,70,0,0,142,0,36,3.0481,65.54,50,4,0,1,0,59.98,304.6,34.37,28.51,4.08,111,11.67,19.2,50.78,23.57,69.06,70.92,70.19,70.26,302,12,1.5,2.53,15.77,21.03,3.1,4,4.52,11,71.13,0.48,34.37,78.68,61.87,7.59,9.61,0,3.15,42.19,1.584,70.52,70,"19' 2""",21.4,56,60.88,49.67,86.23,52.54,"6' 9""","7' 7""","11' 1""",8.1,82.36,60.28,5.49,"7' 10""","14' 8""",23.57,58.82,100,"15' 6""","31' 7""","47' 5""","44' 7""","71' 1""","73' 8""","81' 10""","44' 4""","70' 6""",-0.081,0.242,0.407,0.242,0.246,-0.081,0.099,0.506,24.8
2021,Russell Henley,Royal St Georges,7189,70,CUT,90,10,70,72,0,0,142,0,54,2.1867,69.44,59.29,5,0,0,2,67.07,289.8,29.29,29.15,3.73,216,12.72,18.32,42.31,21.16,69.11,70.117,69.62,69.75,313,7,1.61,2.21,13.16,17.39,3.02,3.97,4.64,6,69.78,0.86,29.29,80.56,63.85,7,10.39,0.01,2.51,38.89,1.62,69.63,69.88,"23' 2""",20,51.4,66.87,44.44,86.48,54.95,"7' 7""","9' 2""","10' 0""",6.5,85.85,67.07,3.43,"9' 5""","24' 5""",21.16,50,20,"13' 3""","31' 4""","42' 8""","51' 11""","60' 4""","110' 7""","64' 0""","40' 7""","76' 7""",0.024,0.071,0.926,0.071,0.831,0.024,0.025,0.952,22.4
2021,Martin Kaymer,Royal St Georges,7189,70,CUT,90,10,74,68,0,0,142,0,79,1.6975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,Marc Leishman,Royal St Georges,7189,70,CUT,90,10,75,67,0,0,142,0,32,3.1457,65.72,60,4,1,0,1,58.46,293.8,30.07,29.09,3.55,152,12.17,15.21,45.8,20.39,70.63,71.303,70.88,71.11,270,9,1.29,2.54,15.86,20.2,3.03,4.06,4.6,7,70.5,0.15,30.07,78.62,59.28,7.05,10.37,0,2.41,39.18,1.616,70.68,71.55,"25' 3""",18.59,56.6,61.48,49.74,85.33,50.68,"8' 2""","8' 9""","8' 9""",8.6,80.45,58,4.99,"9' 1""","19' 5""",20.39,70.59,100,"15' 7""","32' 2""","55' 2""","46' 7""","77' 2""","84' 3""","112' 11""","51' 5""","73' 11""",-0.092,-0.165,-0.138,-0.165,0.118,-0.092,0.19,0.052,21.69
2021,Keegan Bradley,Royal St Georges,7189,70,CUT,90,10,71,71,0,0,142,0,76,1.8193,69.96,50,4,0,1,0,65.03,300.2,29.31,29.56,3.77,140.7,13.43,17,46.5,21.64,69.71,70.48899999999998,70.2,70.19,324,11,1.45,2.43,14.92,22.69,3.05,4.02,4.57,8,70.71,0.76,29.31,80.87,59.14,6.49,10.67,0.01,3.17,36.05,1.642,69.65,70.73,"27' 9""",15.32,55.1,66.55,58.79,88.32,52.03,"6' 9""","8' 8""","9' 7""",6.4,84.47,65.58,4.19,"8' 9""","22' 5""",21.64,55.56,50,"18' 4""","31' 8""","47' 8""","49' 1""","73' 3""","90' 9""","95' 1""","45' 7""","67' 3""",0.165,0.327,1.348,0.327,0.856,0.165,-0.5479999999999999,0.8,23.85
